Date,T10Y2YM,T10Y2YMrate
2000-02-01,-0.09,-1.4090909090909092
2000-03-01,-0.27,2.0000000000000004
2000-04-01,-0.41,0.5185185185185184
2000-05-01,-0.37,-0.09756097560975607
2000-06-01,-0.38,0.027027027027026973
2000-07-01,-0.29,-0.23684210526315796
2000-08-01,-0.4,0.3793103448275863
2000-09-01,-0.28,-0.29999999999999993
2000-10-01,-0.17,-0.3928571428571429
2000-11-01,-0.16,-0.05882352941176472
2000-12-01,-0.11,-0.3125
2001-01-01,0.4,-4.636363636363637
2001-02-01,0.44,0.09999999999999987
2001-03-01,0.55,0.25
2001-04-01,0.91,0.6545454545454545
2001-05-01,1.13,0.24175824175824157
2001-06-01,1.2,0.06194690265486735
2001-07-01,1.2,0.0
2001-08-01,1.21,0.008333333333333304
2001-09-01,1.61,0.3305785123966942
2001-10-01,1.84,0.1428571428571428
2001-11-01,1.87,0.016304347826086918
2001-12-01,1.98,0.05882352941176472
2002-01-01,2.01,0.015151515151515138
2002-02-01,1.89,-0.05970149253731338
2002-03-01,1.72,-0.08994708994708989
2002-04-01,1.79,0.04069767441860472
2002-05-01,1.9,0.06145251396648033
2002-06-01,1.94,0.021052631578947434
2002-07-01,2.09,0.07731958762886593
2002-08-01,2.13,0.019138755980861344
2002-09-01,1.87,-0.12206572769953039
2002-10-01,2.03,0.0855614973262031
2002-11-01,2.13,0.049261083743842304
2002-12-01,2.19,0.028169014084507005
2003-01-01,2.31,0.0547945205479452
2003-02-01,2.27,-0.017316017316017285
2003-03-01,2.24,-0.013215859030836885
2003-04-01,2.34,0.044642857142856984
2003-05-01,2.15,-0.08119658119658113
2003-06-01,2.1,-0.023255813953488302
2003-07-01,2.51,0.195238095238095
2003-08-01,2.59,0.031872509960159334
2003-09-01,2.56,-0.01158301158301156
2003-10-01,2.54,-0.0078125
2003-11-01,2.37,-0.06692913385826771
2003-12-01,2.36,-0.0042194092827004814
2004-01-01,2.39,0.01271186440677985
2004-02-01,2.34,-0.02092050209205032
2004-03-01,2.25,-0.038461538461538436
2004-04-01,2.28,0.013333333333333197
2004-05-01,2.19,-0.039473684210526216
2004-06-01,1.97,-0.1004566210045662
2004-07-01,1.86,-0.055837563451776595
2004-08-01,1.77,-0.048387096774193616
2004-09-01,1.6,-0.096045197740113
2004-10-01,1.52,-0.050000000000000044
2004-11-01,1.34,-0.11842105263157887
2004-12-01,1.22,-0.08955223880597019
2005-01-01,1.0,-0.180327868852459
2005-02-01,0.79,-0.20999999999999996
2005-03-01,0.77,-0.025316455696202556
2005-04-01,0.69,-0.10389610389610393
2005-05-01,0.5,-0.2753623188405796
2005-06-01,0.36,-0.28
2005-07-01,0.31,-0.13888888888888884
2005-08-01,0.22,-0.29032258064516125
2005-09-01,0.25,0.13636363636363646
2005-10-01,0.19,-0.24
2005-11-01,0.12,-0.368421052631579
2005-12-01,0.07,-0.41666666666666663
2006-01-01,0.02,-0.7142857142857143
2006-02-01,-0.1,-6.0
2006-03-01,-0.01,-0.9
2006-04-01,0.1,-11.0
2006-05-01,0.14,0.40000000000000013
2006-06-01,-0.01,-1.0714285714285714
2006-07-01,-0.03,2.0
2006-08-01,-0.02,-0.33333333333333326
2006-09-01,-0.05,1.5
2006-10-01,-0.07,0.40000000000000013
2006-11-01,-0.14,1.0
2006-12-01,-0.11,-0.2142857142857143
2007-01-01,-0.12,0.09090909090909083
2007-02-01,-0.13,0.08333333333333348
2007-03-01,-0.01,-0.9230769230769231
2007-04-01,0.02,-3.0
2007-05-01,-0.02,-2.0
2007-06-01,0.12,-7.0
2007-07-01,0.18,0.5
2007-08-01,0.36,1.0
2007-09-01,0.51,0.41666666666666674
2007-10-01,0.56,0.0980392156862746
2007-11-01,0.81,0.4464285714285714
2007-12-01,0.98,0.20987654320987637
2008-01-01,1.26,0.2857142857142858
2008-02-01,1.77,0.40476190476190466
2008-03-01,1.89,0.06779661016949157
2008-04-01,1.63,-0.13756613756613756
2008-05-01,1.43,-0.12269938650306744
2008-06-01,1.33,-0.0699300699300699
2008-07-01,1.44,0.08270676691729317
2008-08-01,1.47,0.02083333333333326
2008-09-01,1.61,0.09523809523809534
2008-10-01,2.2,0.3664596273291927
2008-11-01,2.32,0.05454545454545445
2008-12-01,1.6,-0.31034482758620685
2009-01-01,1.71,0.06874999999999987
2009-02-01,1.89,0.10526315789473673
2009-03-01,1.89,0.0
2009-04-01,2.0,0.058201058201058364
2009-05-01,2.36,0.17999999999999994
2009-06-01,2.54,0.07627118644067798
2009-07-01,2.54,0.0
2009-08-01,2.47,-0.027559055118110187
2009-09-01,2.44,-0.012145748987854366
2009-10-01,2.44,0.0
2009-11-01,2.6,0.06557377049180335
2009-12-01,2.72,0.04615384615384621
2010-01-01,2.8,0.02941176470588225
2010-02-01,2.83,0.010714285714285898
2010-03-01,2.77,-0.021201413427561877
2010-04-01,2.79,0.0072202166064982976
2010-05-01,2.59,-0.07168458781362008
2010-06-01,2.48,-0.042471042471042386
2010-07-01,2.39,-0.03629032258064513
2010-08-01,2.18,-0.08786610878661083
2010-09-01,2.17,-0.004587155963302836
2010-10-01,2.16,-0.004608294930875445
2010-11-01,2.31,0.06944444444444442
2010-12-01,2.67,0.1558441558441559
2011-01-01,2.78,0.041198501872659055
2011-02-01,2.81,0.010791366906474975
2011-03-01,2.71,-0.03558718861209964
2011-04-01,2.73,0.007380073800737907
2011-05-01,2.61,-0.04395604395604402
2011-06-01,2.59,-0.007662835249042099
2011-07-01,2.59,0.0
2011-08-01,2.07,-0.20077220077220082
2011-09-01,1.77,-0.14492753623188404
2011-10-01,1.87,0.05649717514124308
2011-11-01,1.76,-0.05882352941176472
2011-12-01,1.72,-0.022727272727272707
2012-01-01,1.73,0.005813953488372103
2012-02-01,1.69,-0.023121387283236983
2012-03-01,1.83,0.08284023668639051
2012-04-01,1.76,-0.03825136612021862
2012-05-01,1.51,-0.14204545454545459
2012-06-01,1.33,-0.11920529801324498
2012-07-01,1.28,-0.03759398496240607
2012-08-01,1.41,0.1015625
2012-09-01,1.46,0.03546099290780136
2012-10-01,1.47,0.006849315068493178
2012-11-01,1.38,-0.061224489795918435
2012-12-01,1.46,0.05797101449275366
2013-01-01,1.64,0.12328767123287676
2013-02-01,1.71,0.04268292682926833
2013-03-01,1.7,-0.005847953216374324
2013-04-01,1.53,-0.09999999999999998
2013-05-01,1.68,0.09803921568627438
2013-06-01,1.97,0.17261904761904767
2013-07-01,2.24,0.13705583756345185
2013-08-01,2.38,0.06249999999999978
2013-09-01,2.41,0.0126050420168069
2013-10-01,2.28,-0.05394190871369309
2013-11-01,2.42,0.06140350877192979
2013-12-01,2.56,0.05785123966942152
2014-01-01,2.47,-0.03515624999999989
2014-02-01,2.38,-0.036437246963562875
2014-03-01,2.32,-0.025210084033613467
2014-04-01,2.29,-0.012931034482758563
2014-05-01,2.17,-0.05240174672489084
2014-06-01,2.15,-0.009216589861751112
2014-07-01,2.03,-0.05581395348837215
2014-08-01,1.95,-0.039408866995073843
2014-09-01,1.96,0.00512820512820511
2014-10-01,1.85,-0.05612244897959173
2014-11-01,1.8,-0.027027027027027084
2014-12-01,1.57,-0.12777777777777777
2015-01-01,1.33,-0.15286624203821653
2015-02-01,1.36,0.022556390977443552
2015-03-01,1.4,0.02941176470588225
2015-04-01,1.4,0.0
2015-05-01,1.59,0.1357142857142859
2015-06-01,1.67,0.05031446540880502
2015-07-01,1.65,-0.0119760479041916
2015-08-01,1.47,-0.10909090909090902
2015-09-01,1.46,-0.006802721088435382
2015-10-01,1.43,-0.020547945205479423
2015-11-01,1.38,-0.034965034965035
2015-12-01,1.26,-0.08695652173913038
2016-01-01,1.19,-0.05555555555555558
2016-02-01,1.05,-0.11764705882352933
2016-03-01,1.01,-0.03809523809523818
2016-04-01,1.04,0.02970297029702973
2016-05-01,0.99,-0.04807692307692313
2016-06-01,0.91,-0.08080808080808077
2016-07-01,0.83,-0.08791208791208793
2016-08-01,0.82,-0.012048192771084376
2016-09-01,0.86,0.04878048780487809
2016-10-01,0.92,0.06976744186046524
2016-11-01,1.16,0.26086956521739113
2016-12-01,1.29,0.11206896551724155
2017-01-01,1.22,-0.054263565891472965
2017-02-01,1.22,0.0
2017-03-01,1.17,-0.040983606557377095
2017-04-01,1.06,-0.0940170940170939
2017-05-01,1.0,-0.05660377358490576
2017-06-01,0.85,-0.15000000000000002
2017-07-01,0.95,0.11764705882352944
2017-08-01,0.87,-0.0842105263157894
2017-09-01,0.82,-0.05747126436781613
2017-10-01,0.81,-0.012195121951219412
2017-11-01,0.65,-0.19753086419753085
2017-12-01,0.56,-0.1384615384615384
2018-01-01,0.55,-0.017857142857142905
2018-02-01,0.68,0.23636363636363633
2018-03-01,0.56,-0.17647058823529405
2018-04-01,0.49,-0.1250000000000001
2018-05-01,0.47,-0.04081632653061229
2018-06-01,0.38,-0.1914893617021276
2018-07-01,0.28,-0.26315789473684204
2018-08-01,0.25,-0.1071428571428572
2018-09-01,0.23,-0.07999999999999996
2018-10-01,0.29,0.26086956521739113
2018-11-01,0.26,-0.10344827586206884
2018-12-01,0.15,-0.42307692307692313
2019-01-01,0.17,0.13333333333333353
2019-02-01,0.18,0.0588235294117645
2019-03-01,0.16,-0.11111111111111105
2019-04-01,0.19,0.1875
2019-05-01,0.19,0.0
2019-06-01,0.26,0.368421052631579
2019-07-01,0.22,-0.15384615384615385
2019-08-01,0.06,-0.7272727272727273
2019-09-01,0.05,-0.16666666666666663
2019-10-01,0.16,2.1999999999999997
2019-11-01,0.2,0.25
2019-12-01,0.25,0.25
2020-01-01,,
2020-02-01,,
2020-03-01,,
